run_id,compute_proc_type,primary_memory_size,index_type,num_docs_indexed,num_tokens_indexed,search_set_base_size,search_time
51.4,M2,16,avl,1342745,6268,1388,9994029
51.5,M2,16,avl,2486322,9936,3668,26009798
51.6,M2,16,avl,2722572,10696,760,5213975
51.7,M2,16,avl,3423173,12577,1880,13018846
51.8,M2,16,avl,4520233,16545,3968,27452945
52.1,M2,16,bst,468704,2692,2692,31847953
52.2,M2,16,bst,675137,3832,1140,10805130
52.3,M2,16,bst,950424,4880,1048,9601116
52.4,M2,16,bst,1342745,6268,1388,12845993
52.5,M2,16,bst,2486322,9936,3668,33922672
52.6,M2,16,bst,2722572,10696,760,7038116
52.7,M2,16,bst,3423173,12577,1880,17273664
52.8,M2,16,bst,4520233,16545,3968,36568880
53.1,M2,16,list,468704,4038,2692,28192800998
53.2,M2,16,list,206433,1710,1140,12085439920
53.3,M2,16,list,275287,1572,1048,10799608707
53.4,M2,16,list,392321,2082,1388,14366662979
53.5,M2,16,list,1143577,5502,3668,37386590242
53.6,M2,16,list,236250,1140,760,7777285099
53.7,M2,16,list,700601,2819,1880,19272403955
53.8,M2,16,list,1097060,5952,3968,40676553964
54.1,M2,16,hash,258977,4038,2692,4461050
54.2,M2,16,hash,123068,1710,1140,1538038
54.3,M2,16,hash,130256,1572,1048,1265764
54.4,M2,16,hash,156722,2082,1388,1569986
54.5,M2,16,hash,540565,5502,3668,3466844
54.6,M2,16,hash,126097,1140,760,653028
54.7,M2,16,hash,297836,2819,1880,1592874
54.8,M2,16,hash,520318,5952,3968,2931118
55.1,M2,16,avl,468704,4038,2692,20009994
55.2,M2,16,avl,206433,1710,1140,8202075
55.3,M2,16,avl,275287,1572,1048,7297754
55.4,M2,16,avl,392321,2082,1388,9629011
55.5,M2,16,avl,1143577,5502,3668,25079965
55.6,M2,16,avl,236250,1140,760,5120038
55.7,M2,16,avl,700601,2819,1880,12693166
55.8,M2,16,avl,1097060,5952,3968,26952028
56.1,M2,16,bst,468704,4038,2692,27863979
56.2,M2,16,bst,206433,1710,1140,12105941
56.3,M2,16,bst,275287,1572,1048,11695146
56.4,M2,16,bst,392321,2082,1388,13969898
56.5,M2,16,bst,1143577,5502,3668,34748077
56.6,M2,16,bst,236250,1140,760,7392168
56.7,M2,16,bst,700601,2819,1880,17789840
